HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,Links 
344.843,-138.5,344.843,-139.72,344.843,-136.94,https://physics.stackexchange.com/questions/78664/reduced-mass-in-quantum-physics-hydrogen-atom
345.071,1.5,345.071,3.28,345.071,3.06,https://chemistry.stackexchange.com/questions/67489/how-can-difference-in-neutron-number-cause-a-difference-in-ionisation-enthalpies
345.299,0.5,345.299,3.28,345.299,0.06,https://physics.stackexchange.com/questions/35026/energy-shift-between-hydrogen-and-deuterium
345.526,2.5,345.526,3.28,345.526,3.06,"https://phys.libretexts.org/Bookshelves/Astronomy__Cosmology/Stellar_Atmospheres_(Tatum)/07%3A_Atomic_Spectroscopy/7.04%3A_The_Bohr_Model_of_Hydrogen-like_Atoms#:~:text=The%20quantity%20represented%20by%20the,so%20that%20%CE%BC%3D0.99946m."
345.754,3.5,345.754,3.28,345.754,1.06,
345.982,7.5,345.982,4.28,345.982,1.06,
346.21,7.5,346.21,1.28,346.21,8.06,
346.438,12.5,346.438,7.28,346.438,8.06,
346.666,8.5,346.666,9.28,346.666,7.06,
346.894,8.5,346.894,3.28,346.894,9.06,
347.121,9.5,347.121,9.28,347.121,10.06,
347.349,9.5,347.349,13.28,347.349,10.06,
347.577,14.5,347.577,9.28,347.577,11.06,
347.805,10.5,347.805,13.28,347.805,7.06,
348.033,13.5,348.033,17.28,348.033,15.06,
348.261,9.5,348.261,12.28,348.261,16.06,
348.489,12.5,348.489,14.28,348.489,11.06,
348.716,6.5,348.716,12.28,348.716,16.06,
348.944,7.5,348.944,9.28,348.944,10.06,
349.172,12.5,349.172,7.28,349.172,10.06,
349.4,9.5,349.4,9.28,349.4,11.06,
349.628,8.5,349.628,9.28,349.628,14.06,
349.856,8.5,349.856,10.28,349.856,11.06,
350.083,12.5,350.083,12.28,350.083,6.06,
350.311,10.5,350.311,11.28,350.311,8.06,
350.539,8.5,350.539,11.28,350.539,12.06,
350.767,11.5,350.767,11.28,350.767,18.06,
350.995,8.5,350.995,8.28,350.995,10.06,
351.223,10.5,351.223,9.28,351.223,7.06,
351.45,12.5,351.45,11.28,351.45,12.06,
351.678,10.5,351.678,11.28,351.678,12.06,
351.906,7.5,351.906,11.28,351.906,7.06,
352.134,6.5,352.134,9.28,352.134,15.06,
352.362,6.5,352.362,7.28,352.362,13.06,
