HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity,,,goal: determine wavelengths of peaks,,,,,Links ,
629.667,-71.92,629.667,-48.23,629.667,-43.08,-54.41,,,,fit our data,,,,https://chemistry.stackexchange.com/questions/110000/what-happens-to-the-first-ionization-potential-when-a-hydrogen-like-atom-capture,
629.685,-71.92,629.685,-48.23,629.685,-43.08,-54.41,,,,,,,,https://physics.stackexchange.com/questions/78664/reduced-mass-in-quantum-physics-hydrogen-atom,
629.703,-71.92,629.703,-48.23,629.703,-43.08,-54.41,,,,,,,,https://chemistry.stackexchange.com/questions/67489/how-can-difference-in-neutron-number-cause-a-difference-in-ionisation-enthalpies,
629.722,-44.92,629.722,-32.23,629.722,-46.08,-41.07666667,,,,,,,,https://physics.stackexchange.com/questions/35026/energy-shift-between-hydrogen-and-deuterium,
629.74,-28.92,629.74,-19.23,629.74,-39.08,-29.07666667,,,,,,,,"https://phys.libretexts.org/Bookshelves/Astronomy__Cosmology/Stellar_Atmospheres_(Tatum)/07%3A_Atomic_Spectroscopy/7.04%3A_The_Bohr_Model_of_Hydrogen-like_Atoms#:~:text=The%20quantity%20represented%20by%20the,so%20that%20%CE%BC%3D0.99946m.",
629.758,5.08,629.758,0.77,629.758,-6.08,-0.07666666667,,,,,,,,,
629.776,17.08,629.776,-11.23,629.776,-10.08,-1.41,,,,,,,,,
629.795,7.08,629.795,5.77,629.795,5.92,6.256666667,,,,,,,,,
629.813,-11.92,629.813,-0.23,629.813,11.92,-0.07666666667,,,,,,,,,* i think our measurements are off by ~4nm - systematic error
629.831,-25.92,629.831,-9.23,629.831,-4.08,-13.07666667,,,,,,,,,
629.85,-5.92,629.85,5.77,629.85,-4.08,-1.41,,,,,,,,,
629.868,17.08,629.868,3.77,629.868,-0.08,6.923333333,,,,,,,,,
629.886,19.08,629.886,15.77,629.886,21.92,18.92333333,,,,,,,,,
629.905,-12.92,629.905,-5.23,629.905,7.92,-3.41,,,,,,,,,
