HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity,,,goal: determine wavelengths of peaks,,,,,Links ,
655.025,-3.92,655.025,15.77,655.025,-1.08,3.59,,,,,,,,,
655.039,-4.92,655.039,17.77,655.039,-11.08,0.59,,,,,,,,,
655.054,-9.92,655.054,4.77,655.054,4.92,-0.07666666667,,,,,,,,,
655.068,5.08,655.068,-0.23,655.068,-4.08,0.2566666667,,,,,,,,,
655.083,4.08,655.083,12.77,655.083,-0.08,5.59,,,,,,,,,
655.097,0.08,655.097,12.77,655.097,-7.08,1.923333333,,,,,,,,,
655.112,2.08,655.112,-14.23,655.112,-10.08,-7.41,,,,,,,,,
655.126,0.08,655.126,-6.23,655.126,4.92,-0.41,,,,,,,,,
655.141,0.08,655.141,6.77,655.141,0.92,2.59,,,,,,,,,
655.156,-1.92,655.156,13.77,655.156,9.92,7.256666667,,,,,,,,,
655.17,2.08,655.17,13.77,655.17,-7.08,2.923333333,,,,,,,,,
655.185,-3.92,655.185,23.77,655.185,-1.08,6.256666667,,,,,,,,,
655.199,15.08,655.199,18.77,655.199,3.92,12.59,,,,,,,,,
655.214,20.08,655.214,22.77,655.214,20.92,21.25666667,,,,,,,,,
655.228,33.08,655.228,21.77,655.228,14.92,23.25666667,,,,,,,,,
655.243,9.08,655.243,8.77,655.243,7.92,8.59,,,,,,,,,
655.257,12.08,655.257,-3.23,655.257,12.92,7.256666667,,,,,,,,,
655.272,15.08,655.272,0.77,655.272,19.92,11.92333333,,,,,,,,,
655.286,0.08,655.286,-7.23,655.286,3.92,-1.076666667,,,,,,,,,
655.301,6.08,655.301,-8.23,655.301,0.92,-0.41,,,,,,,,,
655.315,15.08,655.315,16.77,655.315,10.92,14.25666667,,,,,,,,,
655.33,6.08,655.33,20.77,655.33,5.92,10.92333333,,,,,,,,,
655.344,5.08,655.344,23.77,655.344,6.92,11.92333333,,,,,,,,,
655.359,17.08,655.359,5.77,655.359,9.92,10.92333333,,,,,,,,,
655.373,12.08,655.373,28.77,655.373,-0.08,13.59,,,,,,,,,
655.388,13.08,655.388,15.77,655.388,-10.08,6.256666667,,,,,,,,,
655.402,18.08,655.402,14.77,655.402,10.92,14.59,,,,,,,,,
655.417,11.08,655.417,20.77,655.417,20.92,17.59,,,,,,,,,
655.431,4.08,655.431,26.77,655.431,8.92,13.25666667,,,,,,,,,
655.446,19.08,655.446,18.77,655.446,18.92,18.92333333,,,,,,,,,
655.46,6.08,655.46,6.77,655.46,-3.08,3.256666667,,,,,,,,,
655.475,5.08,655.475,21.77,655.475,5.92,10.92333333,,,,,,,,,
655.489,10.08,655.489,34.77,655.489,17.92,20.92333333,,,,,,,,,
