H spec 1 wave,H spec 1 intensity,H spec 2 wave,H spec 2 intensity,H spec 3 wave,H spec 3 intensity,H average intensity
629.667,-3.62,629.667,-5.85,629.667,-12.92,-7.463333333
629.685,-3.62,629.685,-5.85,629.685,-12.92,-7.463333333
629.703,-3.62,629.703,-5.85,629.703,-12.92,-7.463333333
629.722,-44.62,629.722,-53.85,629.722,-56.92,-51.79666667
629.74,-26.62,629.74,-45.85,629.74,-34.92,-35.79666667
629.758,-0.62,629.758,2.15,629.758,-10.92,-3.13
629.776,6.38,629.776,0.15,629.776,-17.92,-3.796666667
629.795,2.38,629.795,2.15,629.795,-7.92,-1.13
629.813,5.38,629.813,3.15,629.813,10.08,6.203333333
629.831,-13.62,629.831,-2.85,629.831,2.08,-4.796666667
629.85,9.38,629.85,2.15,629.85,11.08,7.536666667
629.868,13.38,629.868,3.15,629.868,13.08,9.87
629.886,8.38,629.886,14.15,629.886,4.08,8.87
629.905,-8.62,629.905,-23.85,629.905,-11.92,-14.79666667
629.923,-6.62,629.923,-14.85,629.923,10.08,-3.796666667
629.941,-4.62,629.941,11.15,629.941,5.08,3.87
629.96,-5.62,629.96,9.15,629.96,2.08,1.87
629.978,-5.62,629.978,-5.85,629.978,-8.92,-6.796666667
629.996,0.38,629.996,3.15,629.996,1.08,1.536666667
630.014,24.38,630.014,32.15,630.014,5.08,20.53666667
630.033,17.38,630.033,32.15,630.033,20.08,23.20333333
630.051,14.38,630.051,28.15,630.051,20.08,20.87
630.069,15.38,630.069,13.15,630.069,9.08,12.53666667
630.088,24.38,630.088,11.15,630.088,9.08,14.87
630.106,-3.62,630.106,-16.85,630.106,11.08,-3.13
630.124,-10.62,630.124,-12.85,630.124,5.08,-6.13
630.142,11.38,630.142,25.15,630.142,3.08,13.20333333
630.161,-14.62,630.161,-6.85,630.161,-13.92,-11.79666667
630.179,-11.62,630.179,-2.85,630.179,6.08,-2.796666667
630.197,5.38,630.197,1.15,630.197,14.08,6.87
630.216,21.38,630.216,19.15,630.216,34.08,24.87
630.234,68.38,630.234,64.15,630.234,79.08,70.53666667
630.252,36.38,630.252,30.15,630.252,42.08,36.20333333
630.27,31.38,630.27,19.15,630.27,34.08,28.20333333
630.289,24.38,630.289,6.15,630.289,14.08,14.87
630.307,18.38,630.307,0.15,630.307,4.08,7.536666667
630.325,6.38,630.325,-2.85,630.325,6.08,3.203333333
630.343,12.38,630.343,0.15,630.343,14.08,8.87
630.362,11.38,630.362,10.15,630.362,20.08,13.87
630.38,26.38,630.38,33.15,630.38,12.08,23.87
630.398,-2.62,630.398,10.15,630.398,9.08,5.536666667
630.416,1.38,630.416,4.15,630.416,13.08,6.203333333
630.435,-2.62,630.435,1.15,630.435,10.08,2.87
630.453,-1.62,630.453,3.15,630.453,18.08,6.536666667
630.471,1.38,630.471,16.15,630.471,10.08,9.203333333
630.489,-0.62,630.489,25.15,630.489,12.08,12.20333333
630.507,4.38,630.507,9.15,630.507,17.08,10.20333333
630.526,7.38,630.526,9.15,630.526,-4.92,3.87
630.544,12.38,630.544,12.15,630.544,7.08,10.53666667
630.562,24.38,630.562,28.15,630.562,23.08,25.20333333
630.58,9.38,630.58,20.15,630.58,15.08,14.87
630.599,9.38,630.599,10.15,630.599,15.08,11.53666667
630.617,24.38,630.617,10.15,630.617,14.08,16.20333333
630.635,26.38,630.635,9.15,630.635,20.08,18.53666667
630.653,14.38,630.653,5.15,630.653,24.08,14.53666667
630.671,2.38,630.671,7.15,630.671,25.08,11.53666667
630.69,4.38,630.69,-0.85,630.69,10.08,4.536666667
630.708,4.38,630.708,16.15,630.708,14.08,11.53666667
630.726,18.38,630.726,9.15,630.726,24.08,17.20333333
630.744,1.38,630.744,2.15,630.744,5.08,2.87
630.762,3.38,630.762,-0.85,630.762,-4.92,-0.7966666667
630.781,-2.62,630.781,20.15,630.781,4.08,7.203333333
630.799,11.38,630.799,20.15,630.799,6.08,12.53666667
630.817,24.38,630.817,9.15,630.817,-6.92,8.87
630.835,37.38,630.835,16.15,630.835,23.08,25.53666667
630.853,30.38,630.853,9.15,630.853,30.08,23.20333333
630.871,11.38,630.871,6.15,630.871,12.08,9.87
630.89,9.38,630.89,14.15,630.89,11.08,11.53666667
630.908,2.38,630.908,14.15,630.908,-5.92,3.536666667
630.926,7.38,630.926,-2.85,630.926,-8.92,-1.463333333
630.944,27.38,630.944,17.15,630.944,25.08,23.20333333
630.962,31.38,630.962,34.15,630.962,31.08,32.20333333
630.98,27.38,630.98,55.15,630.98,43.08,41.87
630.999,11.38,630.999,16.15,630.999,17.08,14.87
631.017,10.38,631.017,6.15,631.017,20.08,12.20333333
631.035,-7.62,631.035,1.15,631.035,6.08,-0.13
631.053,-0.62,631.053,8.15,631.053,-1.92,1.87
631.071,13.38,631.071,11.15,631.071,13.08,12.53666667
631.089,10.38,631.089,6.15,631.089,13.08,9.87
631.108,6.38,631.108,1.15,631.108,5.08,4.203333333
631.126,12.38,631.126,-1.85,631.126,1.08,3.87
631.144,-1.62,631.144,13.15,631.144,4.08,5.203333333
631.162,6.38,631.162,34.15,631.162,8.08,16.20333333
631.18,-0.62,631.18,17.15,631.18,20.08,12.20333333
631.198,9.38,631.198,23.15,631.198,10.08,14.20333333
631.216,13.38,631.216,9.15,631.216,4.08,8.87
631.234,-5.62,631.234,3.15,631.234,-7.92,-3.463333333
631.253,-3.62,631.253,1.15,631.253,23.08,6.87
631.271,14.38,631.271,10.15,631.271,13.08,12.53666667
631.289,22.38,631.289,10.15,631.289,5.08,12.53666667
631.307,17.38,631.307,16.15,631.307,6.08,13.20333333
631.325,11.38,631.325,-1.85,631.325,6.08,5.203333333
631.343,32.38,631.343,-1.85,631.343,14.08,14.87
631.361,7.38,631.361,-1.85,631.361,17.08,7.536666667
631.379,4.38,631.379,14.15,631.379,33.08,17.20333333
631.398,7.38,631.398,6.15,631.398,21.08,11.53666667
631.416,12.38,631.416,-5.85,631.416,14.08,6.87
631.434,-5.62,631.434,-14.85,631.434,-6.92,-9.13
631.452,4.38,631.452,6.15,631.452,-0.92,3.203333333
631.47,2.38,631.47,-2.85,631.47,6.08,1.87
631.488,6.38,631.488,-8.85,631.488,4.08,0.5366666667
631.506,-5.62,631.506,-7.85,631.506,6.08,-2.463333333
631.524,-6.62,631.524,-4.85,631.524,-6.92,-6.13
631.542,11.38,631.542,7.15,631.542,-2.92,5.203333333
631.56,-1.62,631.56,-2.85,631.56,1.08,-1.13
631.578,7.38,631.578,-0.85,631.578,16.08,7.536666667
631.597,7.38,631.597,-7.85,631.597,2.08,0.5366666667
