H spec 1 wave,H spec 1 intensity,H spec 2 wave,H spec 2 intensity,H spec 3 wave,H spec 3 intensity,H average intensity
655.025,-9.62,655.025,-0.85,655.025,-5.92,-5.463333333
655.039,-3.62,655.039,8.15,655.039,-4.92,-0.13
655.054,-12.62,655.054,4.15,655.054,-7.92,-5.463333333
655.068,-12.62,655.068,1.15,655.068,-2.92,-4.796666667
655.083,9.38,655.083,22.15,655.083,8.08,13.20333333
655.097,12.38,655.097,6.15,655.097,-1.92,5.536666667
655.112,5.38,655.112,5.15,655.112,-7.92,0.87
655.126,-0.62,655.126,6.15,655.126,8.08,4.536666667
655.141,11.38,655.141,8.15,655.141,11.08,10.20333333
655.156,9.38,655.156,17.15,655.156,9.08,11.87
655.17,-11.62,655.17,-2.85,655.17,-9.92,-8.13
655.185,-9.62,655.185,-5.85,655.185,-7.92,-7.796666667
655.199,4.38,655.199,8.15,655.199,9.08,7.203333333
655.214,11.38,655.214,23.15,655.214,22.08,18.87
655.228,18.38,655.228,15.15,655.228,15.08,16.20333333
655.243,19.38,655.243,10.15,655.243,26.08,18.53666667
655.257,12.38,655.257,21.15,655.257,21.08,18.20333333
655.272,12.38,655.272,2.15,655.272,9.08,7.87
655.286,4.38,655.286,-4.85,655.286,-9.92,-3.463333333
655.301,-1.62,655.301,-5.85,655.301,5.08,-0.7966666667
655.315,-7.62,655.315,-4.85,655.315,10.08,-0.7966666667
655.33,8.38,655.33,7.15,655.33,15.08,10.20333333
655.344,7.38,655.344,12.15,655.344,14.08,11.20333333
655.359,1.38,655.359,1.15,655.359,11.08,4.536666667
655.373,8.38,655.373,8.15,655.373,5.08,7.203333333
655.388,-4.62,655.388,1.15,655.388,-1.92,-1.796666667
655.402,5.38,655.402,15.15,655.402,14.08,11.53666667
655.417,6.38,655.417,14.15,655.417,20.08,13.53666667
655.431,8.38,655.431,19.15,655.431,15.08,14.20333333
655.446,20.38,655.446,26.15,655.446,18.08,21.53666667
655.46,0.38,655.46,2.15,655.46,-0.92,0.5366666667
655.475,6.38,655.475,7.15,655.475,19.08,10.87
655.489,14.38,655.489,0.15,655.489,32.08,15.53666667
655.504,8.38,655.504,4.15,655.504,17.08,9.87
655.518,13.38,655.518,6.15,655.518,14.08,11.20333333
655.532,10.38,655.532,25.15,655.532,31.08,22.20333333
655.547,20.38,655.547,25.15,655.547,41.08,28.87
655.561,24.38,655.561,52.15,655.561,31.08,35.87
655.576,9.38,655.576,24.15,655.576,23.08,18.87
655.59,22.38,655.59,23.15,655.59,19.08,21.53666667
655.605,4.38,655.605,10.15,655.605,-0.92,4.536666667
655.619,9.38,655.619,19.15,655.619,15.08,14.53666667
655.634,33.38,655.634,38.15,655.634,47.08,39.53666667
655.648,46.38,655.648,41.15,655.648,52.08,46.53666667
655.663,33.38,655.663,26.15,655.663,40.08,33.20333333
655.677,23.38,655.677,19.15,655.677,21.08,21.20333333
655.691,36.38,655.691,49.15,655.691,46.08,43.87
655.706,40.38,655.706,53.15,655.706,65.08,52.87
655.72,68.38,655.72,79.15,655.72,81.08,76.20333333
655.735,105.38,655.735,98.15,655.735,98.08,100.5366667
655.749,213.38,655.749,221.15,655.749,233.08,222.5366667
655.764,617.38,655.764,655.15,655.764,747.08,673.2033333
655.778,1692.38,655.778,1824.15,655.778,2019.08,1845.203333
655.792,3414.38,655.792,3712.15,655.792,4066.08,3730.87
655.807,4803.38,655.807,5287.15,655.807,5749.08,5279.87
655.821,4874.38,655.821,5337.15,655.821,5826.08,5345.87
655.836,3766.38,655.836,4097.15,655.836,4523.08,4128.87
655.85,2704.38,655.85,2945.15,655.85,3219.08,2956.203333
655.865,2032.38,655.865,2233.15,655.865,2421.08,2228.87
655.879,1606.38,655.879,1740.15,655.879,1908.08,1751.536667
655.893,1260.38,655.893,1335.15,655.893,1490.08,1361.87
655.908,877.38,655.908,953.15,655.908,1058.08,962.87
655.922,572.38,655.922,619.15,655.922,687.08,626.2033333
655.937,382.38,655.937,400.15,655.937,452.08,411.5366667
655.951,226.38,655.951,243.15,655.951,258.08,242.5366667
655.965,144.38,655.965,137.15,655.965,161.08,147.5366667
655.98,91.38,655.98,92.15,655.98,93.08,92.20333333
655.994,75.38,655.994,72.15,655.994,87.08,78.20333333
656.009,53.38,656.009,41.15,656.009,60.08,51.53666667
656.023,51.38,656.023,39.15,656.023,48.08,46.20333333
656.037,31.38,656.037,37.15,656.037,45.08,37.87
656.052,18.38,656.052,21.15,656.052,28.08,22.53666667
656.066,9.38,656.066,-5.85,656.066,9.08,4.203333333
656.08,-0.62,656.08,13.15,656.08,8.08,6.87
656.095,11.38,656.095,9.15,656.095,21.08,13.87
656.109,21.38,656.109,8.15,656.109,2.08,10.53666667
656.124,23.38,656.124,15.15,656.124,6.08,14.87
656.138,26.38,656.138,13.15,656.138,23.08,20.87
656.152,20.38,656.152,9.15,656.152,30.08,19.87
656.167,24.38,656.167,22.15,656.167,31.08,25.87
656.181,16.38,656.181,10.15,656.181,15.08,13.87
656.195,17.38,656.195,16.15,656.195,18.08,17.20333333
656.21,14.38,656.21,10.15,656.21,4.08,9.536666667
656.224,11.38,656.224,13.15,656.224,-1.92,7.536666667
656.238,22.38,656.238,15.15,656.238,12.08,16.53666667
656.253,24.38,656.253,20.15,656.253,15.08,19.87
656.267,24.38,656.267,22.15,656.267,13.08,19.87
656.281,-7.62,656.281,4.15,656.281,-3.92,-2.463333333
656.296,7.38,656.296,6.15,656.296,9.08,7.536666667
656.31,19.38,656.31,9.15,656.31,16.08,14.87
656.324,12.38,656.324,15.15,656.324,25.08,17.53666667
656.339,17.38,656.339,21.15,656.339,25.08,21.20333333
656.353,-2.62,656.353,12.15,656.353,11.08,6.87
656.367,12.38,656.367,9.15,656.367,23.08,14.87
656.382,0.38,656.382,10.15,656.382,10.08,6.87
656.396,-1.62,656.396,-0.85,656.396,-13.92,-5.463333333
656.41,3.38,656.41,1.15,656.41,-15.92,-3.796666667
656.425,2.38,656.425,2.15,656.425,10.08,4.87
656.439,-6.62,656.439,8.15,656.439,17.08,6.203333333
656.453,2.38,656.453,1.15,656.453,-1.92,0.5366666667
656.468,7.38,656.468,12.15,656.468,6.08,8.536666667
656.482,-3.62,656.482,15.15,656.482,5.08,5.536666667
656.496,-9.62,656.496,-0.85,656.496,-0.92,-3.796666667
656.51,2.38,656.51,-7.85,656.51,8.08,0.87
656.525,6.38,656.525,8.15,656.525,15.08,9.87
656.539,4.38,656.539,10.15,656.539,15.08,9.87
656.553,-2.62,656.553,-4.85,656.553,4.08,-1.13
656.568,8.38,656.568,9.15,656.568,18.08,11.87
656.582,12.38,656.582,6.15,656.582,9.08,9.203333333
656.596,7.38,656.596,13.15,656.596,6.08,8.87
656.611,-12.62,656.611,16.15,656.611,4.08,2.536666667
656.625,-4.62,656.625,12.15,656.625,8.08,5.203333333
656.639,17.38,656.639,17.15,656.639,8.08,14.20333333
656.653,2.38,656.653,-0.85,656.653,19.08,6.87
656.668,-8.62,656.668,7.15,656.668,17.08,5.203333333
656.682,-10.62,656.682,0.15,656.682,14.08,1.203333333
656.696,-0.62,656.696,1.15,656.696,5.08,1.87
656.71,-6.62,656.71,0.15,656.71,-4.92,-3.796666667
656.725,0.38,656.725,9.15,656.725,6.08,5.203333333
656.739,6.38,656.739,6.15,656.739,20.08,10.87
656.753,19.38,656.753,24.15,656.753,19.08,20.87
656.767,3.38,656.767,2.15,656.767,-6.92,-0.4633333333
656.782,12.38,656.782,2.15,656.782,11.08,8.536666667
656.796,20.38,656.796,25.15,656.796,35.08,26.87
656.81,27.38,656.81,46.15,656.81,48.08,40.53666667
656.824,-0.62,656.824,8.15,656.824,6.08,4.536666667
656.839,-1.62,656.839,16.15,656.839,7.08,7.203333333
656.853,1.38,656.853,14.15,656.853,24.08,13.20333333
656.867,11.38,656.867,8.15,656.867,29.08,16.20333333
656.881,14.38,656.881,5.15,656.881,23.08,14.20333333
656.896,-2.62,656.896,5.15,656.896,5.08,2.536666667
656.91,6.38,656.91,5.15,656.91,-1.92,3.203333333
656.924,-0.62,656.924,-1.85,656.924,7.08,1.536666667
656.938,1.38,656.938,6.15,656.938,22.08,9.87
656.953,12.38,656.953,0.15,656.953,6.08,6.203333333
656.967,11.38,656.967,4.15,656.967,2.08,5.87
656.981,4.38,656.981,10.15,656.981,15.08,9.87
656.995,-2.62,656.995,2.15,656.995,5.08,1.536666667
