HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity
629.667,-28.77,629.667,-28.77,629.667,-38.15,-31.89666667
629.685,-28.77,629.685,-28.77,629.685,-38.15,-31.89666667
629.703,-28.77,629.703,-28.77,629.703,-38.15,-31.89666667
629.722,-50.77,629.722,-50.77,629.722,-68.15,-56.56333333
629.74,-34.77,629.74,-34.77,629.74,-53.15,-40.89666667
629.758,3.23,629.758,3.23,629.758,-18.15,-3.896666667
629.776,-8.77,629.776,-8.77,629.776,7.85,-3.23
629.795,12.23,629.795,12.23,629.795,13.85,12.77
629.813,1.23,629.813,1.23,629.813,-1.15,0.4366666667
629.831,-0.77,629.831,-0.77,629.831,-12.15,-4.563333333
629.85,9.23,629.85,9.23,629.85,9.85,9.436666667
629.868,4.23,629.868,4.23,629.868,11.85,6.77
629.886,18.23,629.886,18.23,629.886,7.85,14.77
629.905,-16.77,629.905,-16.77,629.905,-19.15,-17.56333333
629.923,-11.77,629.923,-11.77,629.923,-13.15,-12.23
629.941,-9.77,629.941,-9.77,629.941,1.85,-5.896666667
629.96,-5.77,629.96,-5.77,629.96,8.85,-0.8966666667
629.978,5.23,629.978,5.23,629.978,1.85,4.103333333
629.996,-5.77,629.996,-5.77,629.996,-8.15,-6.563333333
630.014,21.23,630.014,21.23,630.014,5.85,16.10333333
630.033,14.23,630.033,14.23,630.033,25.85,18.10333333
630.051,18.23,630.051,18.23,630.051,24.85,20.43666667
630.069,9.23,630.069,9.23,630.069,0.85,6.436666667
630.088,-0.77,630.088,-0.77,630.088,16.85,5.103333333
630.106,15.23,630.106,15.23,630.106,-7.15,7.77
630.124,17.23,630.124,17.23,630.124,-1.15,11.10333333
630.142,14.23,630.142,14.23,630.142,12.85,13.77
630.161,-6.77,630.161,-6.77,630.161,-5.15,-6.23
630.179,2.23,630.179,2.23,630.179,-11.15,-2.23
630.197,13.23,630.197,13.23,630.197,-4.15,7.436666667
630.216,44.23,630.216,44.23,630.216,26.85,38.43666667
630.234,77.23,630.234,77.23,630.234,84.85,79.77
630.252,25.23,630.252,25.23,630.252,33.85,28.10333333
630.27,21.23,630.27,21.23,630.27,17.85,20.10333333
630.289,35.23,630.289,35.23,630.289,7.85,26.10333333
630.307,-1.77,630.307,-1.77,630.307,11.85,2.77
630.325,9.23,630.325,9.23,630.325,20.85,13.10333333
630.343,5.23,630.343,5.23,630.343,19.85,10.10333333
630.362,19.23,630.362,19.23,630.362,10.85,16.43666667
630.38,21.23,630.38,21.23,630.38,22.85,21.77
630.398,15.23,630.398,15.23,630.398,5.85,12.10333333
630.416,12.23,630.416,12.23,630.416,-4.15,6.77
630.435,11.23,630.435,11.23,630.435,-3.15,6.436666667
630.453,33.23,630.453,33.23,630.453,4.85,23.77
630.471,10.23,630.471,10.23,630.471,9.85,10.10333333
630.489,10.23,630.489,10.23,630.489,20.85,13.77
630.507,17.23,630.507,17.23,630.507,8.85,14.43666667
630.526,8.23,630.526,8.23,630.526,-6.15,3.436666667
630.544,3.23,630.544,3.23,630.544,-0.15,2.103333333
630.562,17.23,630.562,17.23,630.562,21.85,18.77
630.58,22.23,630.58,22.23,630.58,18.85,21.10333333
630.599,16.23,630.599,16.23,630.599,7.85,13.43666667
630.617,27.23,630.617,27.23,630.617,1.85,18.77
630.635,17.23,630.635,17.23,630.635,7.85,14.10333333
630.653,15.23,630.653,15.23,630.653,7.85,12.77
630.671,17.23,630.671,17.23,630.671,15.85,16.77
630.69,11.23,630.69,11.23,630.69,1.85,8.103333333
630.708,19.23,630.708,19.23,630.708,27.85,22.10333333
630.726,20.23,630.726,20.23,630.726,17.85,19.43666667
