HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity
655.025,8.23,655.025,8.23,655.025,-3.15,4.436666667
655.039,0.23,655.039,0.23,655.039,-3.15,-0.8966666667
655.054,5.23,655.054,5.23,655.054,-7.15,1.103333333
655.068,6.23,655.068,6.23,655.068,-1.15,3.77
655.083,9.23,655.083,9.23,655.083,6.85,8.436666667
655.097,-1.77,655.097,-1.77,655.097,6.85,1.103333333
655.112,18.23,655.112,18.23,655.112,6.85,14.43666667
655.126,-0.77,655.126,-0.77,655.126,-6.15,-2.563333333
655.141,1.23,655.141,1.23,655.141,-6.15,-1.23
655.156,22.23,655.156,22.23,655.156,-1.15,14.43666667
655.17,7.23,655.17,7.23,655.17,-0.15,4.77
655.185,11.23,655.185,11.23,655.185,-14.15,2.77
655.199,24.23,655.199,24.23,655.199,9.85,19.43666667
655.214,15.23,655.214,15.23,655.214,18.85,16.43666667
655.228,24.23,655.228,24.23,655.228,26.85,25.10333333
655.243,12.23,655.243,12.23,655.243,-2.15,7.436666667
655.257,8.23,655.257,8.23,655.257,-12.15,1.436666667
655.272,9.23,655.272,9.23,655.272,-4.15,4.77
655.286,9.23,655.286,9.23,655.286,-8.15,3.436666667
655.301,1.23,655.301,1.23,655.301,6.85,3.103333333
655.315,-3.77,655.315,-3.77,655.315,10.85,1.103333333
655.33,10.23,655.33,10.23,655.33,-1.15,6.436666667
655.344,22.23,655.344,22.23,655.344,4.85,16.43666667
655.359,4.23,655.359,4.23,655.359,-16.15,-2.563333333
655.373,3.23,655.373,3.23,655.373,-0.15,2.103333333
655.388,8.23,655.388,8.23,655.388,-3.15,4.436666667
655.402,20.23,655.402,20.23,655.402,13.85,18.10333333
655.417,29.23,655.417,29.23,655.417,17.85,25.43666667
655.431,22.23,655.431,22.23,655.431,11.85,18.77
655.446,14.23,655.446,14.23,655.446,15.85,14.77
655.46,9.23,655.46,9.23,655.46,-18.15,0.1033333333
655.475,12.23,655.475,12.23,655.475,-2.15,7.436666667
655.489,6.23,655.489,6.23,655.489,12.85,8.436666667
655.504,5.23,655.504,5.23,655.504,4.85,5.103333333
655.518,18.23,655.518,18.23,655.518,-2.15,11.43666667
655.532,13.23,655.532,13.23,655.532,16.85,14.43666667
655.547,26.23,655.547,26.23,655.547,34.85,29.10333333
655.561,46.23,655.561,46.23,655.561,32.85,41.77
655.576,48.23,655.576,48.23,655.576,32.85,43.10333333
655.59,127.23,655.59,127.23,655.59,140.85,131.77
655.605,300.23,655.605,300.23,655.605,361.85,320.77
655.619,516.23,655.619,516.23,655.619,636.85,556.4366667
655.634,637.23,655.634,637.23,655.634,798.85,691.1033333
655.648,565.23,655.648,565.23,655.648,686.85,605.77
655.663,385.23,655.663,385.23,655.663,465.85,412.1033333
655.677,286.23,655.677,286.23,655.677,354.85,309.1033333
655.691,246.23,655.691,246.23,655.691,299.85,264.1033333
655.706,202.23,655.706,202.23,655.706,244.85,216.4366667
655.72,180.23,655.72,180.23,655.72,215.85,192.1033333
655.735,165.23,655.735,165.23,655.735,184.85,171.77
655.749,284.23,655.749,284.23,655.749,299.85,289.4366667
655.764,716.23,655.764,716.23,655.764,779.85,737.4366667
655.778,1799.23,655.778,1799.23,655.778,1997.85,1865.436667
655.792,3425.23,655.792,3425.23,655.792,3845.85,3565.436667
655.807,4581.23,655.807,4581.23,655.807,5129.85,4764.103333
655.821,4406.23,655.821,4406.23,655.821,4910.85,4574.436667
655.836,3335.23,655.836,3335.23,655.836,3717.85,3462.77
655.85,2379.23,655.85,2379.23,655.85,2615.85,2458.103333
655.865,1807.23,655.865,1807.23,655.865,1985.85,1866.77
655.879,1412.23,655.879,1412.23,655.879,1548.85,1457.77
655.893,1071.23,655.893,1071.23,655.893,1188.85,1110.436667
655.908,753.23,655.908,753.23,655.908,822.85,776.4366667
655.922,472.23,655.922,472.23,655.922,518.85,487.77
655.937,287.23,655.937,287.23,655.937,336.85,303.77
655.951,184.23,655.951,184.23,655.951,175.85,181.4366667
655.965,113.23,655.965,113.23,655.965,94.85,107.1033333
655.98,66.23,655.98,66.23,655.98,58.85,63.77
655.994,67.23,655.994,67.23,655.994,48.85,61.10333333
656.009,52.23,656.009,52.23,656.009,19.85,41.43666667
656.023,30.23,656.023,30.23,656.023,41.85,34.10333333
656.037,32.23,656.037,32.23,656.037,42.85,35.77
656.052,14.23,656.052,14.23,656.052,22.85,17.10333333
656.066,4.23,656.066,4.23,656.066,4.85,4.436666667
656.08,11.23,656.08,11.23,656.08,9.85,10.77
656.095,31.23,656.095,31.23,656.095,-0.15,20.77
656.109,22.23,656.109,22.23,656.109,-7.15,12.43666667
656.124,14.23,656.124,14.23,656.124,16.85,15.10333333
656.138,23.23,656.138,23.23,656.138,18.85,21.77
656.152,1.23,656.152,1.23,656.152,2.85,1.77
656.167,19.23,656.167,19.23,656.167,19.85,19.43666667
656.181,17.23,656.181,17.23,656.181,16.85,17.10333333
656.195,19.23,656.195,19.23,656.195,23.85,20.77
656.21,20.23,656.21,20.23,656.21,1.85,14.10333333
656.224,11.23,656.224,11.23,656.224,-7.15,5.103333333
656.238,14.23,656.238,14.23,656.238,0.85,9.77
656.253,10.23,656.253,10.23,656.253,9.85,10.10333333
656.267,21.23,656.267,21.23,656.267,30.85,24.43666667
656.281,-0.77,656.281,-0.77,656.281,-5.15,-2.23
656.296,6.23,656.296,6.23,656.296,0.85,4.436666667
656.31,10.23,656.31,10.23,656.31,15.85,12.10333333
656.324,16.23,656.324,16.23,656.324,11.85,14.77
656.339,34.23,656.339,34.23,656.339,16.85,28.43666667
656.353,28.23,656.353,28.23,656.353,15.85,24.10333333
656.367,33.23,656.367,33.23,656.367,9.85,25.43666667
656.382,7.23,656.382,7.23,656.382,-1.15,4.436666667
656.396,-7.77,656.396,-7.77,656.396,-9.15,-8.23
656.41,-6.77,656.41,-6.77,656.41,-8.15,-7.23
656.425,4.23,656.425,4.23,656.425,-14.15,-1.896666667
656.439,5.23,656.439,5.23,656.439,-5.15,1.77
656.453,-5.77,656.453,-5.77,656.453,-10.15,-7.23
656.468,3.23,656.468,3.23,656.468,2.85,3.103333333
656.482,18.23,656.482,18.23,656.482,-2.15,11.43666667
656.496,20.23,656.496,20.23,656.496,-4.15,12.10333333
656.51,16.23,656.51,16.23,656.51,8.85,13.77
656.525,14.23,656.525,14.23,656.525,11.85,13.43666667
656.539,7.23,656.539,7.23,656.539,10.85,8.436666667
656.553,7.23,656.553,7.23,656.553,4.85,6.436666667
656.568,19.23,656.568,19.23,656.568,-1.15,12.43666667
656.582,11.23,656.582,11.23,656.582,11.85,11.43666667
656.596,0.23,656.596,0.23,656.596,8.85,3.103333333
656.611,1.23,656.611,1.23,656.611,0.85,1.103333333
656.625,15.23,656.625,15.23,656.625,14.85,15.10333333
656.639,4.23,656.639,4.23,656.639,11.85,6.77
656.653,13.23,656.653,13.23,656.653,15.85,14.10333333
656.668,1.23,656.668,1.23,656.668,-7.15,-1.563333333
656.682,8.23,656.682,8.23,656.682,-1.15,5.103333333
656.696,14.23,656.696,14.23,656.696,7.85,12.10333333
656.71,8.23,656.71,8.23,656.71,-0.15,5.436666667
656.725,18.23,656.725,18.23,656.725,16.85,17.77
656.739,17.23,656.739,17.23,656.739,11.85,15.43666667
656.753,23.23,656.753,23.23,656.753,22.85,23.10333333
656.767,8.23,656.767,8.23,656.767,7.85,8.103333333
656.782,14.23,656.782,14.23,656.782,-1.15,9.103333333
656.796,26.23,656.796,26.23,656.796,27.85,26.77
656.81,42.23,656.81,42.23,656.81,42.85,42.43666667
656.824,3.23,656.824,3.23,656.824,-1.15,1.77
656.839,14.23,656.839,14.23,656.839,-0.15,9.436666667
656.853,1.23,656.853,1.23,656.853,-1.15,0.4366666667
656.867,0.23,656.867,0.23,656.867,6.85,2.436666667
656.881,14.23,656.881,14.23,656.881,17.85,15.43666667
656.896,-6.77,656.896,-6.77,656.896,0.85,-4.23
656.91,-3.77,656.91,-3.77,656.91,-12.15,-6.563333333
656.924,14.23,656.924,14.23,656.924,1.85,10.10333333
656.938,21.23,656.938,21.23,656.938,18.85,20.43666667
656.953,20.23,656.953,20.23,656.953,13.85,18.10333333
656.967,21.23,656.967,21.23,656.967,3.85,15.43666667
656.981,23.23,656.981,23.23,656.981,22.85,23.10333333
656.995,23.23,656.995,23.23,656.995,3.85,16.77
