time1,count1,time2,count2,time3,count3
0,0,0,0,0,0
1,2,1,1,1,2
2,1,2,2,2,0
3,1,3,1,3,3
4,3,4,2,4,3
5,1,5,2,5,2
6,2,6,0,6,3
7,2,7,1,7,0
8,3,8,1,8,3
9,2,9,1,9,1
10,2,10,1,10,1
11,2,11,2,11,1
12,1,12,0,12,3
13,2,13,1,13,2
14,1,14,4,14,5
15,1,15,1,15,3
16,1,16,2,16,1
17,3,17,4,17,2
18,4,18,1,18,2
19,1,19,1,19,4
20,2,20,0,20,3
21,2,21,2,21,0
22,2,22,1,22,1
23,1,23,0,23,5
24,2,24,2,24,3
25,2,25,3,25,0
26,2,26,3,26,1
27,2,27,0,27,3
28,0,28,0,28,1
29,0,29,2,29,2
30,2,30,1,30,1
31,3,31,2,31,1
32,0,32,0,32,4
33,1,33,0,33,0
34,1,34,2,34,3
35,4,35,3,35,1
36,2,36,3,36,1
37,0,37,3,37,5
38,2,38,3,38,2
39,1,39,2,39,1
40,2,40,2,40,2
41,1,41,3,41,2
42,2,42,1,42,1
43,0,43,1,43,1
44,1,44,0,44,0
45,0,45,0,45,4
46,1,46,1,46,2
47,4,47,1,47,1
48,0,48,1,48,3
49,3,49,1,49,1
50,1,50,4,50,2
51,0,51,2,51,4
52,2,52,1,52,3
53,3,53,1,53,2
54,1,54,1,54,4
55,3,55,1,55,2
56,2,56,2,56,0
57,1,57,2,57,2
58,2,58,2,58,2
59,1,59,1,59,0
60,0,60,1,60,0
61,1,61,1,61,0
62,3,62,1,62,0
63,2,63,1,63,0
64,0,64,4,64,0
65,1,65,1,65,1
66,1,66,2,66,1
67,1,67,2,67,2
68,1,68,2,68,2
69,3,69,3,69,0
70,2,70,3,70,1
71,2,71,1,71,1
72,0,72,1,72,0
73,0,73,0,73,2
74,0,74,2,74,3
75,2,75,0,75,2
76,1,76,3,76,0
77,2,77,0,77,3
78,3,78,1,78,3
79,1,79,1,79,2
80,3,80,3,80,0
81,2,81,2,81,0
82,1,82,2,82,0
83,3,83,0,83,3
84,2,84,1,84,0
85,1,85,0,85,1
86,2,86,1,86,1
87,3,87,2,87,0
88,3,88,1,88,3
89,1,89,2,89,2
90,3,90,1,90,3
91,2,91,2,91,2
92,1,92,3,92,2
93,3,93,0,93,0
94,3,94,4,94,2
95,1,95,1,95,2
96,2,96,1,96,0
97,2,97,1,97,1
98,0,98,3,98,0
99,0,99,1,99,2
100,0,100,1,100,1
101,3,101,0,101,2
102,1,102,3,102,2
103,3,103,2,103,1
104,1,104,1,104,1
105,1,105,3,105,4
106,1,106,2,106,4
107,2,107,2,107,0
108,1,108,0,108,1
109,3,109,1,109,0
110,1,110,1,110,1
111,1,111,0,111,0
112,0,112,0,112,1
113,3,113,0,113,0
114,2,114,1,114,0
115,1,115,1,115,1
116,2,116,5,116,5
117,2,117,0,117,1
118,1,118,1,118,2
119,2,119,1,119,1
120,1,120,0,120,3
121,1,121,3,121,0
122,2,122,1,122,1
123,1,123,0,123,0
124,3,124,2,124,0
125,2,125,1,125,3
126,2,126,1,126,2
127,0,127,0,127,2
128,0,128,0,128,1
129,0,129,1,129,3
130,1,130,1,130,2
131,2,131,1,131,1
132,3,132,0,132,1
133,4,133,1,133,0
134,0,134,5,134,2
135,1,135,2,135,2
136,1,136,0,136,3
137,1,137,1,137,2
138,0,138,1,138,0
139,3,139,0,139,2
140,1,140,1,140,0
141,1,141,3,141,1
142,1,142,1,142,2
143,2,143,1,143,2
144,1,144,3,144,2
145,1,145,2,145,3
146,1,146,1,146,1
147,1,147,1,147,0
148,1,148,3,148,5
149,2,149,5,149,0
150,2,150,2,150,1
151,0,151,2,151,0
152,3,152,1,152,3
153,5,153,2,153,2
154,1,154,0,154,0
155,1,155,1,155,0
156,2,156,1,156,1
157,2,157,2,157,1
158,1,158,2,158,2
159,4,159,2,159,0
160,6,160,1,160,3
161,0,161,1,161,2
162,2,162,1,162,2
163,4,163,1,163,0
164,1,164,2,164,1
165,4,165,4,165,3
166,5,166,1,166,1
167,0,167,1,167,1
168,1,168,0,168,2
169,1,169,2,169,0
170,1,170,1,170,0
171,2,171,2,171,1
172,0,172,5,172,1
173,1,173,0,173,1
174,0,174,4,174,2
175,0,175,2,175,1
176,3,176,1,176,0
177,3,177,4,177,0
178,1,178,4,178,0
179,0,179,1,179,0
180,1,180,1,180,1
181,0,181,2,181,1
182,2,182,3,182,0
183,0,183,2,183,2
184,2,184,1,184,1
185,1,185,1,185,0
186,1,186,0,186,0
187,0,187,5,187,1
188,2,188,1,188,1
189,1,189,3,189,1
190,2,190,2,190,3
191,2,191,1,191,1
192,1,192,3,192,1
193,1,193,0,193,0
194,1,194,4,194,0
195,2,195,2,195,3
196,1,196,1,196,2
197,3,197,0,197,0
198,0,198,1,198,0
199,3,199,2,199,1
200,0,200,1,200,4
