time1,count1,time2,count2,time3,count3
0,0,0,0,0,0
1,3,1,1,1,3
2,0,2,3,2,4
3,0,3,1,3,5
4,2,4,3,4,2
5,2,5,1,5,1
6,0,6,4,6,2
7,3,7,2,7,1
8,3,8,4,8,4
9,3,9,4,9,4
10,2,10,4,10,3
11,2,11,3,11,1
12,0,12,2,12,3
13,0,13,2,13,3
14,4,14,4,14,1
15,2,15,0,15,1
16,1,16,3,16,3
17,1,17,5,17,1
18,4,18,1,18,3
19,1,19,2,19,2
20,3,20,2,20,5
21,2,21,2,21,1
22,3,22,4,22,3
23,0,23,2,23,2
24,0,24,3,24,2
25,3,25,3,25,4
26,1,26,3,26,2
27,2,27,4,27,7
28,0,28,0,28,3
29,2,29,2,29,2
30,4,30,1,30,3
31,1,31,4,31,5
32,1,32,4,32,2
33,4,33,3,33,5
34,1,34,1,34,0
35,5,35,1,35,3
36,2,36,2,36,3
37,2,37,4,37,4
38,2,38,3,38,1
39,4,39,2,39,2
40,2,40,3,40,2
41,2,41,3,41,2
42,3,42,8,42,2
43,3,43,2,43,2
44,1,44,4,44,4
45,1,45,6,45,4
46,1,46,5,46,1
47,3,47,3,47,5
48,0,48,1,48,3
49,2,49,2,49,4
50,4,50,0,50,2
51,1,51,6,51,0
52,2,52,0,52,2
53,5,53,2,53,2
54,4,54,5,54,1
55,4,55,2,55,3
56,1,56,4,56,3
57,1,57,2,57,4
58,1,58,6,58,2
59,1,59,2,59,2
60,2,60,3,60,3
61,1,61,2,61,2
62,3,62,2,62,3
63,5,63,0,63,3
64,2,64,3,64,2
65,2,65,4,65,1
66,3,66,3,66,4
67,1,67,3,67,2
68,1,68,2,68,3
69,4,69,1,69,4
70,0,70,2,70,2
71,5,71,3,71,1
72,2,72,5,72,4
73,1,73,6,73,4
74,0,74,1,74,1
75,1,75,3,75,3
76,0,76,0,76,3
77,0,77,5,77,3
78,2,78,3,78,5
79,0,79,1,79,2
80,1,80,1,80,4
81,4,81,2,81,4
82,4,82,3,82,5
83,0,83,1,83,5
84,3,84,1,84,5
85,2,85,1,85,3
86,2,86,1,86,4
87,3,87,0,87,2
88,2,88,0,88,3
89,2,89,3,89,1
90,3,90,3,90,2
91,4,91,7,91,8
92,4,92,7,92,1
93,0,93,3,93,3
94,2,94,2,94,4
95,6,95,3,95,2
96,2,96,3,96,4
97,3,97,1,97,2
98,3,98,1,98,1
99,2,99,0,99,3
100,3,100,2,100,1
101,6,101,2,101,1
102,3,102,2,102,3
103,3,103,1,103,0
104,3,104,3,104,5
105,2,105,4,105,6
106,2,106,2,106,2
107,2,107,0,107,4
108,1,108,2,108,3
109,2,109,3,109,2
110,2,110,4,110,2
111,0,111,3,111,3
112,2,112,5,112,2
113,3,113,2,113,6
114,3,114,0,114,3
115,1,115,2,115,2
116,3,116,6,116,3
117,3,117,3,117,0
118,1,118,2,118,4
119,3,119,5,119,5
120,0,120,0,120,1
121,2,121,3,121,3
122,5,122,5,122,1
123,2,123,2,123,3
124,2,124,3,124,2
125,1,125,1,125,1
126,4,126,3,126,2
127,3,127,2,127,1
128,5,128,1,128,1
129,4,129,2,129,1
130,1,130,3,130,4
131,5,131,2,131,3
132,2,132,3,132,4
133,1,133,2,133,3
134,4,134,3,134,3
135,1,135,5,135,1
136,2,136,4,136,1
137,0,137,2,137,1
138,1,138,6,138,5
139,2,139,2,139,3
140,2,140,5,140,0
141,5,141,3,141,7
142,6,142,2,142,3
143,3,143,3,143,2
144,4,144,1,144,1
145,2,145,1,145,2
146,0,146,6,146,4
147,2,147,1,147,2
148,1,148,2,148,2
149,0,149,1,149,2
150,2,150,2,150,1
151,2,151,0,151,0
152,2,152,1,152,2
153,4,153,5,153,1
154,1,154,4,154,5
155,2,155,3,155,4
156,1,156,2,156,1
157,2,157,1,157,1
158,2,158,6,158,2
159,3,159,1,159,3
160,3,160,7,160,1
161,4,161,1,161,2
162,2,162,2,162,1
163,1,163,3,163,3
164,0,164,3,164,3
165,1,165,1,165,2
166,3,166,2,166,2
167,1,167,3,167,2
168,0,168,4,168,1
169,1,169,4,169,3
170,0,170,2,170,6
171,1,171,2,171,0
172,3,172,4,172,1
173,2,173,3,173,2
174,1,174,4,174,1
175,2,175,2,175,2
176,1,176,2,176,3
177,1,177,2,177,7
178,4,178,3,178,1
179,0,179,2,179,3
180,3,180,2,180,3
181,1,181,2,181,3
182,3,182,2,182,4
183,2,183,3,183,3
184,1,184,3,184,2
185,1,185,1,185,2
186,1,186,3,186,1
187,1,187,3,187,1
188,1,188,1,188,3
189,1,189,1,189,2
190,2,190,3,190,1
191,0,191,1,191,3
192,2,192,2,192,0
193,1,193,0,193,2
194,1,194,3,194,3
195,2,195,3,195,4
196,2,196,2,196,4
197,5,197,2,197,2
198,1,198,0,198,3
199,4,199,3,199,2
200,2,200,6,200,0
