time1,count1,time2,count2,time3,count3
0,0,0,0,0,0
1,2,1,2,1,2
2,1,2,0,2,2
3,1,3,0,3,0
4,1,4,1,4,0
5,2,5,4,5,3
6,2,6,0,6,0
7,2,7,2,7,1
8,0,8,2,8,2
9,2,9,1,9,1
10,0,10,0,10,2
11,1,11,1,11,1
12,2,12,1,12,0
13,0,13,0,13,0
14,1,14,0,14,0
15,1,15,1,15,0
16,1,16,3,16,0
17,4,17,1,17,1
18,0,18,0,18,0
19,4,19,3,19,1
20,0,20,2,20,1
21,1,21,0,21,5
22,2,22,0,22,1
23,0,23,0,23,0
24,1,24,1,24,3
25,1,25,1,25,3
26,0,26,3,26,2
27,0,27,0,27,3
28,1,28,2,28,1
29,0,29,2,29,2
30,2,30,0,30,1
31,1,31,1,31,0
32,2,32,3,32,0
33,1,33,0,33,1
34,0,34,1,34,3
35,2,35,1,35,1
36,0,36,0,36,1
37,0,37,1,37,1
38,1,38,0,38,2
39,0,39,0,39,2
40,1,40,0,40,0
41,3,41,1,41,3
42,1,42,2,42,1
43,2,43,1,43,1
44,2,44,0,44,0
45,0,45,0,45,4
46,0,46,2,46,0
47,0,47,1,47,6
48,0,48,0,48,0
49,3,49,1,49,1
50,2,50,2,50,0
51,0,51,2,51,1
52,1,52,2,52,0
53,1,53,1,53,0
54,1,54,0,54,1
55,3,55,2,55,0
56,2,56,0,56,0
57,5,57,2,57,0
58,2,58,3,58,1
59,1,59,2,59,0
60,2,60,3,60,0
61,4,61,5,61,1
62,0,62,2,62,3
63,3,63,4,63,1
64,1,64,1,64,2
65,2,65,2,65,0
66,0,66,2,66,2
67,1,67,1,67,1
68,1,68,1,68,1
69,0,69,1,69,2
70,0,70,1,70,0
71,1,71,1,71,1
72,3,72,1,72,1
73,1,73,0,73,0
74,1,74,0,74,0
75,0,75,2,75,2
76,1,76,2,76,1
77,1,77,1,77,1
78,1,78,3,78,1
79,1,79,4,79,1
80,0,80,0,80,2
81,3,81,0,81,0
82,0,82,1,82,1
83,2,83,1,83,0
84,4,84,1,84,2
85,3,85,0,85,0
86,0,86,2,86,0
87,0,87,0,87,4
88,0,88,1,88,1
89,2,89,0,89,0
90,0,90,0,90,2
91,3,91,1,91,0
92,2,92,1,92,2
93,1,93,1,93,1
94,0,94,0,94,2
95,1,95,1,95,2
96,1,96,0,96,1
97,1,97,0,97,2
98,1,98,0,98,1
99,2,99,3,99,2
100,1,100,0,100,2
101,2,101,0,101,0
102,1,102,1,102,3
103,0,103,1,103,0
104,2,104,1,104,0
105,1,105,2,105,0
106,0,106,2,106,3
107,1,107,1,107,2
108,0,108,0,108,1
109,3,109,1,109,1
110,1,110,1,110,1
111,2,111,2,111,1
112,1,112,0,112,0
113,1,113,1,113,3
114,0,114,2,114,0
115,2,115,3,115,3
116,1,116,0,116,2
117,0,117,1,117,0
118,1,118,2,118,1
119,0,119,4,119,0
120,2,120,1,120,1
121,0,121,0,121,1
122,1,122,0,122,0
123,0,123,1,123,1
124,2,124,3,124,1
125,1,125,0,125,1
126,3,126,1,126,0
127,0,127,1,127,0
128,0,128,1,128,1
129,1,129,1,129,3
130,1,130,0,130,1
131,1,131,2,131,1
132,1,132,2,132,2
133,1,133,1,133,1
134,0,134,0,134,0
135,0,135,1,135,3
136,1,136,2,136,2
137,1,137,2,137,2
138,0,138,2,138,0
139,0,139,0,139,2
140,1,140,2,140,2
141,0,141,1,141,0
142,1,142,1,142,0
143,0,143,1,143,3
144,1,144,3,144,0
145,0,145,0,145,0
146,1,146,1,146,1
147,0,147,0,147,1
148,2,148,1,148,0
149,0,149,0,149,0
150,2,150,1,150,1
151,3,151,0,151,0
152,3,152,1,152,1
153,4,153,0,153,1
154,0,154,1,154,0
155,1,155,2,155,1
156,1,156,1,156,1
157,1,157,2,157,0
158,3,158,0,158,0
159,2,159,0,159,1
160,1,160,2,160,0
161,0,161,1,161,0
162,0,162,1,162,0
163,0,163,0,163,1
164,0,164,2,164,0
165,0,165,1,165,1
166,2,166,0,166,0
167,1,167,2,167,1
168,1,168,0,168,0
169,0,169,2,169,1
170,3,170,2,170,1
171,2,171,0,171,3
172,2,172,1,172,0
173,1,173,1,173,1
174,1,174,0,174,0
175,1,175,1,175,1
176,2,176,0,176,0
177,1,177,1,177,1
178,3,178,0,178,0
179,0,179,0,179,1
180,2,180,1,180,2
181,3,181,2,181,0
182,0,182,3,182,2
183,0,183,2,183,0
184,3,184,0,184,1
185,2,185,3,185,0
186,1,186,0,186,2
187,0,187,1,187,1
188,2,188,0,188,0
189,0,189,2,189,0
190,1,190,1,190,1
191,1,191,1,191,0
192,0,192,1,192,3
193,1,193,2,193,1
194,1,194,2,194,1
195,0,195,0,195,3
196,0,196,1,196,2
197,1,197,0,197,0
198,1,198,1,198,0
199,1,199,1,199,0
200,1,200,1,200,0
