Na22,Cs137,Co60,Co57,Mn54,Ba133
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
290,926,475,185,227,859
2893,8451,3153,2111,1432,9201
3040,8916,3288,2254,1467,9671
3088,9406,3585,2465,1393,10002
3337,9630,3798,2742,1471,10002
3506,9730,4082,3027,1560,9573
3717,9165,4402,3278,1554,8731
3886,8366,4756,3782,1599,7584
4021,7653,4798,4181,1538,6567
4046,6562,4791,4861,1568,5724
3999,5958,4664,5491,1560,5464
4027,5498,4518,6073,1504,5396
3727,5363,4203,6897,1437,5292
3663,5123,3928,7777,1359,5529
3358,4820,3827,8883,1360,5467
3194,4738,3414,9682,1332,5325
3051,4593,3278,10633,1240,5344
2934,4403,3062,11220,1284,5218
2919,4385,2845,12295,1243,5000
2725,4003,2659,12863,1127,4672
2580,3849,2448,13570,1074,4073
2554,3710,2303,14106,1008,3610
2332,3532,2134,14767,891,3193
2222,3501,2066,15858,857,2771
2201,3476,1982,16849,827,2418
2193,3201,1866,17494,810,2177
2199,3288,1850,17954,740,2073
2292,3183,1881,18230,758,1862
2145,3313,1935,17474,754,1877
2234,3336,1880,16421,782,1715
2102,3228,1906,14605,788,1629
2132,3396,1932,12715,788,1481
2244,3333,1908,10351,752,1428
2203,3334,2017,8044,798,1364
2252,3448,1942,6068,840,1325
2231,3518,1930,4548,814,1327
2290,3497,2006,3082,838,1305
2365,3699,1987,2301,846,1302
2336,3586,1949,1741,837,1290
2340,3749,2080,1370,850,1330
2468,3756,2075,1068,915,1215
2427,3932,2133,975,896,1225
2455,3967,2140,998,950,1195
2438,3901,2165,934,972,1140
2426,3983,2170,940,975,1114
2497,4022,2181,924,1012,1144
2487,4189,2294,866,1019,1146
2619,4330,2314,885,1040,1100
2485,4144,2351,867,1093,1128
2507,4176,2416,777,1065,1085
2523,4030,2378,848,1139,1114
2458,4181,2422,814,1059,1146
2433,4086,2485,756,1147,1181
2457,4090,2518,771,1115,1208
2482,4138,2590,699,1062,1273
2496,3937,2540,682,1104,1218
2481,3982,2558,668,1161,1273
2434,3904,2598,653,1128,1335
2411,4000,2605,602,1103,1426
2482,3983,2556,489,1131,1556
2423,3830,2701,522,1095,1635
2419,3780,2514,438,1083,1704
2382,3673,2589,406,1088,1880
2269,3692,2553,388,1083,1946
2416,3573,2572,292,1080,2093
2284,3547,2524,293,1093,2210
2170,3550,2534,221,1090,2276
2204,3544,2509,189,1060,2423
2154,3366,2549,149,1052,2694
2243,3426,2385,137,1010,2739
2129,3443,2460,99,1027,2932
2118,3408,2386,90,1061,2933
2058,3461,2418,94,1008,3209
2005,3353,2356,82,985,3327
2109,3369,2432,85,995,3369
1978,3329,2362,66,996,3466
1961,3189,2245,76,949,3583
1860,3219,2258,58,951,3762
1832,3297,2337,67,962,3796
1855,3154,2347,54,916,4030
1798,3113,2244,64,935,4144
1769,3205,2223,56,955,4229
1780,3190,2267,48,868,4286
1753,3231,2187,59,933,4359
1784,3119,2180,52,941,4518
1801,3066,2158,51,829,4596
1675,3120,2137,44,826,4488
1749,3117,2092,49,831,4433
1686,3029,2101,49,851,4352
1714,2970,1938,40,856,4131
1756,2987,2009,40,850,4066
1775,3065,2094,37,871,3678
1833,2997,1990,40,827,3565
1908,3038,1961,32,784,3337
1971,2928,1941,31,839,3125
1983,2994,1966,44,767,2831
2079,2949,1929,28,785,2617
2227,2879,1895,32,792,2317
2294,2823,1865,28,792,2243
2349,2920,1920,25,769,2008
2463,2741,1919,32,767,1909
2716,2760,1897,33,798,1695
2806,2740,1793,24,785,1503
2909,2665,1922,32,775,1434
3102,2667,1820,22,742,1308
3394,2608,1832,24,760,1272
3613,2568,1816,29,748,1122
3785,2465,1843,27,758,1051
4143,2385,1831,28,759,1016
4301,2353,1776,20,757,983
4561,2297,1791,31,716,905
5000,2199,1762,24,787,820
5088,2136,1847,23,778,740
5470,2145,1694,25,763,744
5841,2008,1802,25,712,668
6185,1950,1740,33,747,647
6439,1799,1823,24,754,548
6786,1750,1775,29,753,531
7080,1705,1768,19,752,486
7362,1674,1832,24,745,436
7560,1608,1780,11,704,432
7929,1537,1715,22,755,391
7935,1460,1808,19,754,352
8180,1464,1705,23,697,337
8211,1375,1678,29,756,302
8214,1372,1738,19,736,310
8036,1433,1719,21,746,277
7890,1338,1677,18,723,273
7500,1382,1714,21,735,277
7233,1418,1635,11,749,245
7174,1506,1659,24,722,236
6703,1567,1725,18,724,221
6010,1578,1642,16,729,208
5691,1692,1676,24,702,239
5165,1824,1678,23,721,226
4720,1977,1622,19,668,190
4270,2137,1661,30,719,202
3868,2311,1584,16,713,220
3479,2529,1653,12,693,198
3177,2704,1614,24,690,177
2774,3049,1682,26,631,187
2554,3368,1604,13,712,206
2335,3583,1569,24,678,181
2184,3956,1643,29,656,195
1940,4357,1696,35,609,191
1822,4818,1599,34,629,186
1649,5291,1608,36,616,208
1646,5820,1624,36,624,190
1441,6374,1660,50,525,180
1425,6818,1674,36,599,169
1320,7872,1694,44,573,173
1291,8042,1591,55,539,192
1197,8918,1666,59,575,179
1183,9573,1664,49,487,184
1153,10210,1648,45,499,178
1152,11117,1609,49,515,165
1035,11871,1690,59,499,191
1034,12506,1665,67,481,151
1034,12818,1696,58,451,227
956,13706,1690,77,426,182
1023,14136,1650,65,425,156
1004,14077,1697,69,388,177
978,14515,1665,68,390,179
959,14385,1753,83,421,183
953,14556,1689,67,380,174
946,14116,1660,77,408,162
897,13784,1678,90,427,174
1000,13572,1720,67,405,176
948,12925,1669,68,350,141
974,12296,1694,57,417,157
910,11326,1625,68,357,141
883,10697,1618,50,392,138
877,9622,1639,47,389,134
884,8716,1703,54,362,122
912,7836,1692,48,425,140
885,6924,1649,39,380,131
909,6150,1707,33,452,105
881,5553,1731,44,391,119
804,4773,1614,23,497,114
899,4151,1740,26,478,105
896,3602,1646,28,577,119
836,2993,1669,27,634,99
861,2760,1679,21,670,83
873,2370,1665,21,724,102
891,2112,1599,25,823,89
852,1785,1697,21,878,88
847,1660,1581,23,973,72
851,1375,1670,14,958,75
870,1292,1704,15,1180,64
852,1076,1705,13,1269,63
783,1021,1714,19,1343,63
782,901,1758,14,1508,72
813,846,1700,12,1630,61
882,761,1709,13,1744,59
810,787,1746,7,1882,54
810,695,1707,13,1942,55
794,676,1735,12,2165,51
800,643,1753,15,2334,35
790,549,1713,7,2425,49
820,587,1800,10,2568,39
801,529,1777,10,2788,42
819,552,1752,11,2747,34
766,531,1726,8,2880,39
784,516,1666,11,2888,31
777,501,1710,10,2937,37
860,454,1784,16,2903,35
820,505,1763,14,2980,28
774,473,1724,10,2890,30
735,449,1787,9,2772,19
741,471,1763,6,2711,21
788,455,1747,5,2683,17
781,464,1751,4,2475,13
771,463,1796,6,2300,26
722,439,1696,5,2193,13
747,415,1731,10,2008,22
718,464,1751,7,1789,24
694,422,1639,11,1619,16
760,387,1724,9,1472,12
734,419,1724,7,1226,16
741,402,1746,12,1132,12
739,371,1696,6,976,13
672,369,1738,4,795,11
732,386,1684,5,721,12
748,392,1719,7,657,17
802,419,1626,8,547,9
742,378,1598,3,499,16
763,380,1643,8,397,11
732,378,1612,6,364,13
733,370,1509,9,317,13
731,379,1655,6,267,11
723,370,1574,4,223,11
711,346,1596,2,198,7
765,352,1511,6,199,9
736,327,1561,5,147,11
717,370,1529,5,133,4
741,313,1533,9,107,6
722,338,1534,5,94,10
736,314,1500,8,93,9
738,293,1546,5,95,10
765,331,1509,6,65,12
709,301,1472,6,58,15
698,290,1527,6,69,10
677,322,1483,5,59,7
711,282,1470,4,61,4
663,308,1525,8,63,8
658,286,1419,5,48,11
708,298,1444,7,47,9
706,279,1437,7,47,4
711,290,1522,3,54,6
639,276,1444,6,54,10
667,261,1491,7,43,7
665,264,1574,4,59,5
639,279,1596,3,40,11
